Titles,Prices,Links
Post Parkim për shitje tek Ish Fusha e Aviacionit Tiranë,"23,000 €",https://www.century21albania.com/property/3657428/post-parkim-p%C3%ABr-shitje-tek-ish-fusha-e-aviacionit-tiran%C3%AB-premium96726.html
"SHITET POST PARKIMI,""VILA L2"" ASTIR","15,000 €",https://www.century21albania.com/property/3652665/shitet-post-parkimi-vila-l2-astir-astoria96603.html
SHITET BIZNESI FARMACI TEK ZONA E BRRYLIT!,"10,000 €",https://www.century21albania.com/property/3651690/shitet-biznesi-farmaci-tek-zona-e-brrylit-action96579.html
SHESIM GARAZH KAT -1 NE SHKOZE,"20,500 €",https://www.century21albania.com/property/3649554/shesim-garazh-kat-1-ne-shkoze-partners96527.html
"Garazhd për Shitje Harry Fultz, Tiranë","25,000 €",https://www.century21albania.com/property/3643397/garazhd-p%C3%ABr-shitje-harry-fultz-tiran%C3%AB-roy96400.html
SHESIM POST PARKIMI TE KOMPLEKSI HALILI,"30,000 €",https://www.century21albania.com/property/3625382/shesim-post-parkimi-te-kompleksi-halili-royal96028.html
Shesim Post Parkimi në Don Bosko,"16,000 €",https://www.century21albania.com/property/3622941/shesim-post-parkimi-n%C3%AB-don-bosko-partners95974.html
Shesim Post Parkimi në Don Bosko,"16,000 €",https://www.century21albania.com/property/3622885/shesim-post-parkimi-n%C3%AB-don-bosko-partners95971.html
SHESIM POST PARKIMI PRANE HANNOVER BAR NE LAGJEN UJE I FTOHTE VLORE,"27,000 €",https://www.century21albania.com/property/3621827/shesim-post-parkimi-prane-hannover-bar-ne-lagjen-uje-i-ftohte-vlore-coast95944.html
SHITET GARAZHD NE PLAZH HEKURUDHA!!,"16,000 €",https://www.century21albania.com/property/3621348/shitet-garazhd-ne-plazh-hekurudha-atlantic95934.html
SHESIM DY GARAZHE TE MBYLLURA PRANE GLOBE !,"15,000 €",https://www.century21albania.com/property/3618493/shesim-dy-garazhe-te-mbyllura-prane-globe-metropol95888.html
Shitet apartament 1 +1 + kuzhine + 2 ballkone,"30,000 €",https://www.century21albania.com/property/3608263/shitet-apartament-1-1-kuzhine-2-ballkone-legacy95583.html
"Parking për shitje në Golem, Durrës !!!","15,000 €",https://www.century21albania.com/property/3608658/parking-p%C3%ABr-shitje-n%C3%AB-golem-durr%C3%ABs-eon95616.html
"Parking për shitje në Golem, Durrës !!!","15,000 €",https://www.century21albania.com/property/3608697/parking-p%C3%ABr-shitje-n%C3%AB-golem-durr%C3%ABs-eon95619.html
"Parking për shitje në Golem, Durrës !!!","15,000 €",https://www.century21albania.com/property/3608731/parking-p%C3%ABr-shitje-n%C3%AB-golem-durr%C3%ABs-eon95623.html
"UNITED TOWERS OF TIRANA !!! SHESIM APARTAMENTE PREMIUM, AMBIENTE KOMERCIALE DHE PARKIME TE TIPOLOGJIVE TE NDRYSHME !!!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3608831/united-towers-of-tirana-shesim-apartamente-premium-ambiente-komerciale-dhe-parkime-te-tipologjive-te-ndryshme-expert95630.html
Shitet Biznesi Bar Restorant Funksional me Klientele te Ngritur!,"24,000 €",https://www.century21albania.com/property/3599992/shitet-biznesi-bar-restorant-funksional-me-klientele-te-ngritur-irg95350.html
SHESIM TOKE NE PORTO ROMANO,"33,000 €",https://www.century21albania.com/property/3592453/shesim-toke-ne-porto-romano-eon95160.html
"Post Parkimi ne kat -2 shitje në Laprakë, REZIDENCA E-88 - 19000€ | 37.01 m²","19,000 €",https://www.century21albania.com/property/3591262/post-parkimi-ne-kat-2-shitje-n%C3%AB-laprak%C3%AB-rezidenca-e-88-19000-37-01-m%C2%B2-partners95132.html
"Shitet ,post parkimi, Bulevardi i Ri, Tirane","20,000 €",https://www.century21albania.com/property/3588024/shitet-post-parkimi-bulevardi-i-ri-tirane-neom95085.html
"Shitet ,post parkimi, Bulevardi i Ri, Tirane","20,000 €",https://www.century21albania.com/property/3588023/shitet-post-parkimi-bulevardi-i-ri-tirane-neom95084.html
"Shitet ,post parkimi, Bulevardi i Ri, Tirane","20,000 €",https://www.century21albania.com/property/3588014/shitet-post-parkimi-bulevardi-i-ri-tirane-neom95083.html
"Shitet ,post parkimi, Bulevardi i Ri, Tirane","20,000 €",https://www.century21albania.com/property/3588002/shitet-post-parkimi-bulevardi-i-ri-tirane-neom95082.html
Dyqan për Shitje në Vlorë,"35,000 €",https://www.century21albania.com/property/3574706/dyqan-p%C3%ABr-shitje-n%C3%AB-vlor%C3%AB-oks94767.html
SHITET BISNES TEK RR.MINE PEZA!,"30,000 €",https://www.century21albania.com/property/3575916/shitet-bisnes-tek-rr-mine-peza-irg94795.html
"Shitet njesi komerciale prane Ardeno, ne Rrugen 1 Maji!","35,000 €",https://www.century21albania.com/property/3567624/shitet-njesi-komerciale-prane-ardeno-ne-rrugen-1-maji-bosko94606.html
"Shiten 4 Poste Parkimi, ne Mezez, Tirane","32,000 €",https://www.century21albania.com/property/3568317/shiten-4-poste-parkimi-ne-mezez-tirane-bosko94642.html
SHESIM POST PARKIMI TE RRUGA E BARRIKADAVE !,"23,000 €",https://www.century21albania.com/property/3562725/shesim-post-parkimi-te-rruga-e-barrikadave-partners94500.html
SHITET BIZNESI AFTER SCHOOL!,"3,500 €",https://www.century21albania.com/property/3558154/shitet-biznesi-after-school-new94386.html
SHITET TOKE NE DIVJAKE,"32,000 €",https://www.century21albania.com/property/3531318/shitet-toke-ne-divjake-sol93644.html
"Shitet post parkimi, Ish Fusha e Aviacionit","17,500 €",https://www.century21albania.com/property/3558231/shitet-post-parkimi-ish-fusha-e-aviacionit-astoria94388.html
"Shitet post parkimi, Ish Fusha e Aviacionit","17,500 €",https://www.century21albania.com/property/3557520/shitet-post-parkimi-ish-fusha-e-aviacionit-astoria94362.html
POST PARKIMI PËR SHITJE TEK ISH FUSHA E AVIACIONIT!,"19,000 €",https://www.century21albania.com/property/3546082/post-parkimi-p%C3%ABr-shitje-tek-ish-fusha-e-aviacionit-oks94018.html
"Atrium Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542486/atrium-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93932.html
"Atrium Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542441/atrium-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93929.html
"Familly Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542381/familly-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93925.html
"Familly Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542288/familly-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93922.html
"Familly Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542090/familly-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93919.html
"Familly Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542071/familly-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93916.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3542030/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93914.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3541902/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93912.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540406/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93888.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540405/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93887.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540372/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93886.html
"Private Vila për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540365/private-vila-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93885.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540338/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93884.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540335/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93883.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540334/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93882.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540319/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93881.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540318/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93880.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540316/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93879.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540279/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93877.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540277/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93876.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3540272/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93875.html
"SHITET BIZNES, DYQAN LULESH, RR. BARDHYL!","13,000 €",https://www.century21albania.com/property/3536327/shitet-biznes-dyqan-lulesh-rr-bardhyl-bosko93751.html
"Vila dhe apartamente luksoze, moderne, me pamje nga deti në destinacionin më ikonik të Mesdheut... FOLIE VILLAGE!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3535085/vila-dhe-apartamente-luksoze-moderne-me-pamje-nga-deti-n%C3%AB-destinacionin-m%C3%AB-ikonik-t%C3%AB-mesdheut-folie-village-capital93721.html
"Atrium Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3535084/atrium-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93720.html
"Apartament për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3535059/apartament-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93719.html
"Familly Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3535039/familly-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93718.html
"Private Villa për shitje, Folie Village Jalë!",Çmimi sipas kërkesës,https://www.century21albania.com/property/3533961/private-villa-p%C3%ABr-shitje-folie-village-jal%C3%AB-capital93711.html
SHITET POST PARKIMI TE KOMPLEKSI FZ!,"28,000 €",https://www.century21albania.com/property/3512477/shitet-post-parkimi-te-kompleksi-fz-neom93265.html
"Apartament 2+1 për shitje në lagjen ""3 Heronjtë"", Shkodër - 35000€ | 66 m²","35,000 €",https://www.century21albania.com/property/3498552/apartament-2-1-p%C3%ABr-shitje-n%C3%AB-lagjen-3-heronjt%C3%AB-shkod%C3%ABr-35000-66-m%C2%B2-vision92899.html
SHITET TOKE NE KRYEVIDH!,"21,300 €",https://www.century21albania.com/property/3491411/shitet-toke-ne-kryevidh-bosko92717.html
"Ambient biznesi për shitje në Laprakë, Tiranë - 33600€ | 21.68 m²","33,600 €",https://www.century21albania.com/property/3487858/ambient-biznesi-p%C3%ABr-shitje-n%C3%AB-laprak%C3%AB-tiran%C3%AB-33600-21-68-m%C2%B2-vision92623.html
TOKE PER SHITJE PRAN JURGENIT NE LINZE,"32,000 €",https://www.century21albania.com/property/3484491/toke-per-shitje-pran-jurgenit-ne-linze-el92533.html
SHITET BIZNES CELULARESH TEK VASIL SHANTO !,"5,000 €",https://www.century21albania.com/property/3480993/shitet-biznes-celularesh-tek-vasil-shanto-atrium92429.html
SHITEN POSTE PARKIMI PRANE XHAMLLIKUT,Çmimi sipas kërkesës,https://www.century21albania.com/property/3472404/shiten-poste-parkimi-prane-xhamllikut-ent92151.html
"GARSONIERE NE SHITJE, GOLEM!","34,000 €",https://www.century21albania.com/property/3461653/garsoniere-ne-shitje-golem-prestige91883.html
SHITET AKTIVITET BISNESI NE DURRES!!,"5,000 €",https://www.century21albania.com/property/3455678/shitet-aktivitet-bisnesi-ne-durres-eon91759.html
Shesim post parkimi ne katin -2 në nje ndertes te re ne Komunen e Parisit 28000€ | 15 m²,"28,000 €",https://www.century21albania.com/property/3453309/shesim-post-parkimi-ne-katin-2-n%C3%AB-nje-ndertes-te-re-ne-komunen-e-parisit-28000-15-m%C2%B2-bot91709.html
"SHITET GAZONIERE TE MALI ROBIT ,NDERTIM I RI !MUNDESI PAGESE ME KESTE !","30,430 €",https://www.century21albania.com/property/3434316/shitet-gazoniere-te-mali-robit-ndertim-i-ri-mundesi-pagese-me-keste-roy91196.html
"Shesim poste parkimi ne Lungomare, Vlore","25,000 €",https://www.century21albania.com/property/3431830/shesim-poste-parkimi-ne-lungomare-vlore-expert91156.html
"Shesim poste parkimi ne Lungomare, Vlore","35,000 €",https://www.century21albania.com/property/3431882/shesim-poste-parkimi-ne-lungomare-vlore-expert91159.html
"SHESIM POST PARKIMI, prane Ish- Stacionit te trenit.","22,000 €",https://www.century21albania.com/property/3415215/shesim-post-parkimi-prane-ish-stacionit-te-trenit-abitat90714.html
Shitet gazonjere te Pishat e Buta Golem!,"27,000 €",https://www.century21albania.com/property/3412795/shitet-gazonjere-te-pishat-e-buta-golem-roy90628.html
Shiten ambjente per aktivitet ne Plazh Hekurudha!,"31,000 €",https://www.century21albania.com/property/3408013/shiten-ambjente-per-aktivitet-ne-plazh-hekurudha-eon90540.html
SHESIM POST PARKIMI TE UNIVERS CITY !,"15,000 €",https://www.century21albania.com/property/3398059/shesim-post-parkimi-te-univers-city-partners90388.html
SHESIM POST PARKIMI TE UNIVERS CITY !,"15,000 €",https://www.century21albania.com/property/3397962/shesim-post-parkimi-te-univers-city-partners90386.html
Shitet biznesi Bar Lounge në zonen e Ish-Bllokut!!,"30,000 €",https://www.century21albania.com/property/3384755/shitet-biznesi-bar-lounge-n%C3%AB-zonen-e-ish-bllokut-imp90122.html
Biznes ne Shitje tek Mine Peza!,"30,000 €",https://www.century21albania.com/property/3386425/biznes-ne-shitje-tek-mine-peza-atrium90157.html
"POSTE PARKIMI TE KOMPLEKSI FIORI DI BOSCO, DON BOSKO",Çmimi sipas kërkesës,https://www.century21albania.com/property/3360633/poste-parkimi-te-kompleksi-fiori-di-bosco-don-bosko-abitat89541.html
BIZNES EXCHANGE PER SHITJE!,"4,000 €",https://www.century21albania.com/property/3355262/biznes-exchange-per-shitje-el89428.html
SHITET TOKE NE KARPEN ME PAMJE DETI .,Çmimi sipas kërkesës,https://www.century21albania.com/property/3354845/shitet-toke-ne-karpen-me-pamje-deti-atlantic89422.html
SHESIM POST PARKIMI NE LIQEN TE THATE!,"22,000 €",https://www.century21albania.com/property/3351145/shesim-post-parkimi-ne-liqen-te-thate-neom89343.html
SHESIM POST PARKIMI NE LIQEN TE THATE!,"22,000 €",https://www.century21albania.com/property/3351108/shesim-post-parkimi-ne-liqen-te-thate-neom89341.html
"POSTE PARKIMI TE KOMPLEKSI SYRI I LIQENIT, KOPSHTI ZOOLOGJIK","30,000 €",https://www.century21albania.com/property/3328438/poste-parkimi-te-kompleksi-syri-i-liqenit-kopshti-zoologjik-abitat88961.html
"GARAZH PER SHITJE,NE CENTRALE! (40 m2)","22,000 €",https://www.century21albania.com/property/3323193/garazh-per-shitje-ne-centrale-40-m2-marina88838.html
SHESIM POST PARKIMI NE ASTIR!,"20,000 €",https://www.century21albania.com/property/3312590/shesim-post-parkimi-ne-astir-partners88576.html
Shiten 30 poste parkimi “Ringside Residences”,Çmimi sipas kërkesës,https://www.century21albania.com/property/3297697/shiten-30-poste-parkimi-ringside-residences-bridge88197.html
Parking / Parkim per Shitje tek Kompleksi Aura,"22,000 €",https://www.century21albania.com/property/3280843/parking-parkim-per-shitje-tek-kompleksi-aura-partners87873.html
SHITET TOKE NE ZONEN E ISH-KENETES!,"25,000 €",https://www.century21albania.com/property/3268444/shitet-toke-ne-zonen-e-ish-kenetes-eon87607.html
TOKE PER SHITJE NE ZONEN E ISH KENETES!,"25,000 €",https://www.century21albania.com/property/3268372/toke-per-shitje-ne-zonen-e-ish-kenetes-eon87605.html
Shiten poste parkimi tek ISH FUSHA e AVIACIONIT.,"15,000 €",https://www.century21albania.com/property/3261445/shiten-poste-parkimi-tek-ish-fusha-e-aviacionit-el87444.html
SHITET AKTIVITET YOGURTERI PRANE MUZEUMIT !,"15,000 €",https://www.century21albania.com/property/3212577/shitet-aktivitet-yogurteri-prane-muzeumit-eon85889.html
SHITET GARAZHD TE KOMPLEKSI EKA!,"13,000 €",https://www.century21albania.com/property/3240695/shitet-garazhd-te-kompleksi-eka-atlantic87012.html
SHITET AMBIENT KOMERCIAL BUZE RRUGE NE BULEVARDIN MIGJENI !,Çmimi sipas kërkesës,https://www.century21albania.com/property/3215803/shitet-ambient-komercial-buze-rruge-ne-bulevardin-migjeni-bosko86048.html
SHITET POST PARKIMI NE PLAZH HEKURUDHA!,"15,000 €",https://www.century21albania.com/property/3210261/shitet-post-parkimi-ne-plazh-hekurudha-atlantic85773.html
Shitet post parkimi prane Pallatit me Shigjeta!,"28,000 €",https://www.century21albania.com/property/3210677/shitet-post-parkimi-prane-pallatit-me-shigjeta-irg85793.html
SHITET DEPO TEK ISH FUSHA E AVIACIONIT!!!,"15,000 €",https://www.century21albania.com/property/3208684/shitet-depo-tek-ish-fusha-e-aviacionit-oks85689.html
SHITET POST PARKIM TE ISH FUSHA E AVIACIONIT!!!,"16,000 €",https://www.century21albania.com/property/3208663/shitet-post-parkim-te-ish-fusha-e-aviacionit-oks85687.html
SHESIM POSTE PARKIMI TEK VASIL SHANTO.,"28,000 €",https://www.century21albania.com/property/3208447/shesim-poste-parkimi-tek-vasil-shanto-cpm85669.html
SHESIM BIZNES NE KOMUNEN E PARISIT,"10,000 €",https://www.century21albania.com/property/3206163/shesim-biznes-ne-komunen-e-parisit-partners85566.html
"SHITET GARSONIERE PRANE DETIT NE GOLEM, NDERTIM I RI! MUNDESI PAGESE ME KESTE !!","31,500 €",https://www.century21albania.com/property/3198934/shitet-garsoniere-prane-detit-ne-golem-ndertim-i-ri-mundesi-pagese-me-keste-epidamn85232.html
SHESIM POSTE PARKMI NE KAMEZ !,"12,000 €",https://www.century21albania.com/property/3199036/shesim-poste-parkmi-ne-kamez-atrium85237.html
"YZBERISHT, SHESIM POST PARKIMI","25,000 €",https://www.century21albania.com/property/3192805/yzberisht-shesim-post-parkimi-everest85067.html
"Shesim Garazhe, afer Liqenit te Thate!","21,000 €",https://www.century21albania.com/property/3183590/shesim-garazhe-afer-liqenit-te-thate-imp84871.html
SHESIM GARAZHE TE KOMPLEKSI MIRABELLA,"20,000 €",https://www.century21albania.com/property/3173682/shesim-garazhe-te-kompleksi-mirabella-atrium84601.html
SHESIM 2 POSTE PARKIMI NGA 17000€ per 1| |35 m² SECILI,"17,000 €",https://www.century21albania.com/property/3175332/shesim-2-poste-parkimi-nga-17000-per-1-35-m%C2%B2-secili-atrium84672.html
SHITET GARAZH NE PLAZH ILIRIA,"15,000 €",https://www.century21albania.com/property/3156332/shitet-garazh-ne-plazh-iliria-new84145.html
SHESIM GARAZHD TEK KOMUNA E PARISIT!,"29,000 €",https://www.century21albania.com/property/3151443/shesim-garazhd-tek-komuna-e-parisit-oks83986.html
"Ambient Biznesi per Shitje, Bulevardi Gjergj Fishta","8,000 €",https://www.century21albania.com/property/3124150/ambient-biznesi-per-shitje-bulevardi-gjergj-fishta-bond83133.html
SHESIM POSTE PARKIMI NE LAPRAKE.,"13,200 €",https://www.century21albania.com/property/3115432/shesim-poste-parkimi-ne-laprake-cpm82869.html
Garazh ne Shitje tek Myslym Shyri !!,"28,000 €",https://www.century21albania.com/property/3112957/garazh-ne-shitje-tek-myslym-shyri-dream82798.html
Shitet Garazh ne Rrugen Myslym Shyri !!,"28,000 €",https://www.century21albania.com/property/3112753/shitet-garazh-ne-rrugen-myslym-shyri-dream82794.html
"SHITET BIZNES, PASTICERI NE ASTIR!","15,000 €",https://www.century21albania.com/property/3106380/shitet-biznes-pasticeri-ne-astir-astoria82613.html
SHITET TOKE ARE NE ARAPAJ !,"30,000 €",https://www.century21albania.com/property/3097513/shitet-toke-are-ne-arapaj-eon82367.html
Shitet toke ne Golem i Madh ne Lushnje 3000m2!!,"12,000 €",https://www.century21albania.com/property/3088317/shitet-toke-ne-golem-i-madh-ne-lushnje-3000m2-roy82087.html
MAGAZINE NE SHITJE TEK RRUGA MIHAL GRAMENO !,"30,000 €",https://www.century21albania.com/property/3081979/magazine-ne-shitje-tek-rruga-mihal-grameno-prestige81889.html
SHITET AKTIVITET IT / KOMPJUTERIK NE DURRES!,"20,000 €",https://www.century21albania.com/property/3071075/shitet-aktivitet-it-kompjuterik-ne-durres-eon81586.html
POST PARKIMI PËR SHITJE TEK ISH FUSHA E AVIACIONIT!,"15,000 €",https://www.century21albania.com/property/3063102/post-parkimi-p%C3%ABr-shitje-tek-ish-fusha-e-aviacionit-oks81347.html
SHITET PARKIM 20M2.,"28,850 €",https://www.century21albania.com/property/3040742/shitet-parkim-20m2-el80720.html
Shitet Truall ne zonen e plazhit.,"35,000 €",https://www.century21albania.com/property/3038515/shitet-truall-ne-zonen-e-plazhit-new80659.html
SHITET BODRUM 31M2 TEK XHAMIA E TABAKEVE!,"30,000 €",https://www.century21albania.com/property/3023469/shitet-bodrum-31m2-tek-xhamia-e-tabakeve-irg80311.html
DYQAN TE ALI DEMI!,"29,000 €",https://www.century21albania.com/property/3016132/dyqan-te-ali-demi-irg80151.html
"SHESIM TOKE ARE NE UDENISHT, POGRADEC!","30,000 €",https://www.century21albania.com/property/3006674/shesim-toke-are-ne-udenisht-pogradec-expert79965.html
"EKSLUZIVE! SHITET GARZONIERE NE REZIDENCEN EON! 650€/M2, MUNDESI PAGESE ME KESTE PER 2 VITE!","33,023 €",https://www.century21albania.com/property/2956327/eksluzive-shitet-garzoniere-ne-rezidencen-eon-650-m2-mundesi-pagese-me-keste-per-2-vite-eon78940.html
OKAZION - NJESI SHERBIMI TE KODRA E DIELLIT!,"20,000 €",https://www.century21albania.com/property/2987493/okazion-njesi-sherbimi-te-kodra-e-diellit-irg79560.html
Shesim post parkimi tek Rruga Dalip Topi.,"10,088 €",https://www.century21albania.com/property/2973142/shesim-post-parkimi-tek-rruga-dalip-topi-expert79260.html
